c_n_sourceID,c_type,c_n_countries_norm,b_n_jurisdiction_description_norm,count
Panama Papers,individual,Romania,Bahamas,1
Panama Papers,individual,Qatar,Samoa,1
Panama Papers,individual,Portugal,Wyoming,1
Panama Papers,individual,Portugal,Niue,1
Panama Papers,individual,Portugal,Cyprus,1
Panama Papers,individual,Poland,Hong Kong,1
Panama Papers,individual,Poland,British Anguilla,1
Panama Papers,individual,Qatar,Seychelles,1
Panama Papers,individual,Viet Nam,Bahamas,1
Panama Papers,individual,Gambia,British Virgin Islands,1
Panama Papers,individual,Finland,Samoa,1
Offshore Leaks,organization,Singapore,Hong Kong,1
Offshore Leaks,organization,Singapore,Bermuda,1
Offshore Leaks,organization,Saudi Arabia,Labuan,1
Offshore Leaks,organization,Saint Vincent and the Grenadines,British Virgin Islands,1
Offshore Leaks,organization,Saint Lucia,British Virgin Islands,1
Offshore Leaks,organization,Singapore,Malaysia,1
Offshore Leaks,organization,Philippines,Labuan,1
Offshore Leaks,organization,Nigeria,British Virgin Islands,1
Offshore Leaks,organization,New Zealand,Singapore,1
Offshore Leaks,organization,New Zealand,Labuan,1
Offshore Leaks,organization,Netherlands,Labuan,1
Offshore Leaks,organization,Netherlands,Cayman Islands,1
Offshore Leaks,organization,Singapore,Mauritius,1
Offshore Leaks,organization,Singapore,Seychelles,1
Offshore Leaks,organization,United States,Hong Kong,1
Offshore Leaks,organization,United Kingdom,Labuan,1
Offshore Leaks,organization,United Arab Emirates,British Virgin Islands,1
Offshore Leaks,organization,Turks and Caicos Islands,Samoa,1
Offshore Leaks,organization,Turks and Caicos Islands,Cook Islands,1
Offshore Leaks,organization,Thailand,Cook Islands,1
Offshore Leaks,organization,Singapore,Panama,1
Offshore Leaks,organization,Taiwan,Recorded in leaked files as fund,1
Offshore Leaks,organization,Taiwan,Labuan,1
Offshore Leaks,organization,Sri Lanka,British Virgin Islands,1
Offshore Leaks,organization,Singapore,United States Of America,1
Offshore Leaks,organization,Singapore,United Kingdom,1
Offshore Leaks,organization,Taiwan,Mauritius,1
Offshore Leaks,organization,United States,Liberia,1
Offshore Leaks,organization,Monaco,British Virgin Islands,1
Offshore Leaks,organization,Malaysia,Bahamas,1
Offshore Leaks,organization,Indonesia,Vanuatu,1
Offshore Leaks,organization,Indonesia,St. Lucia,1
Offshore Leaks,organization,Indonesia,Recorded in leaked files as fund,1
Offshore Leaks,organization,Indonesia,Bahamas,1
Offshore Leaks,organization,India,Cayman Islands,1
Offshore Leaks,organization,Ireland,British Virgin Islands,1
Offshore Leaks,organization,Hong Kong,Panama,1
Offshore Leaks,organization,Hong Kong,Bermuda,1
Offshore Leaks,organization,Hong Kong,Bahamas,1
Offshore Leaks,organization,Guam,Cook Islands,1
Offshore Leaks,organization,Gibraltar,Singapore,1
Offshore Leaks,organization,Gibraltar,Samoa,1
Offshore Leaks,organization,Germany,Samoa,1
Offshore Leaks,organization,Hong Kong,Ireland,1
Offshore Leaks,organization,Malaysia,Mauritius,1
Offshore Leaks,organization,Ireland,Cook Islands,1
Offshore Leaks,organization,Italy,British Virgin Islands,1
Offshore Leaks,organization,Luxembourg,Labuan,1
Offshore Leaks,organization,Luxembourg,British Virgin Islands,1
Offshore Leaks,organization,Liechtenstein,Samoa,1
Offshore Leaks,organization,Liechtenstein,Cook Islands,1
Offshore Leaks,organization,Japan,Singapore,1
Offshore Leaks,organization,Italy,Bahamas,1
Offshore Leaks,organization,Japan,Labuan,1
