c_n_sourceID,c_type,c_n_countries_norm,b_n_jurisdiction_description_norm,count
Panama Papers,organization,Yemen,British Virgin Islands,1
Paradise Papers - Appleby,individual,Austria,British Virgin Islands,1
Panama Papers,organization,Luxembourg,Nevada,1
Panama Papers,organization,Sweden,Bahamas,1
Panama Papers,organization,Spain,Hong Kong,1
Panama Papers,organization,New Zealand,Nevada,1
Panama Papers,organization,New Zealand,Costa Rica,1
Panama Papers,organization,New Zealand,British Anguilla,1
Panama Papers,organization,Netherlands,British Anguilla,1
Panama Papers,organization,Nauru,Panama,1
Panama Papers,organization,Namibia,Seychelles,1
Panama Papers,organization,New Zealand,Niue,1
Panama Papers,organization,Myanmar,Panama,1
Panama Papers,organization,Mongolia,British Virgin Islands,1
Panama Papers,organization,Monaco,Seychelles,1
Panama Papers,organization,Moldova,British Virgin Islands,1
Panama Papers,organization,Moldova,Bahamas,1
Panama Papers,organization,Maldives,British Virgin Islands,1
Panama Papers,organization,Malaysia,Bahamas,1
Panama Papers,organization,Morocco,Seychelles,1
Panama Papers,organization,Spain,Nevada,1
Panama Papers,organization,New Zealand,Samoa,1
Panama Papers,organization,Nigeria,Bahamas,1
Panama Papers,organization,Spain,Bahamas,1
Panama Papers,organization,South Korea,Seychelles,1
Panama Papers,organization,South Africa,Niue,1
Panama Papers,organization,Singapore,Niue,1
Panama Papers,organization,Singapore,Hong Kong,1
Panama Papers,organization,Singapore,British Anguilla,1
Panama Papers,organization,New Zealand,United Kingdom,1
Panama Papers,organization,Serbia,Seychelles,1
Panama Papers,organization,Saudi Arabia,Samoa,1
Panama Papers,organization,Saint Vincent and the Grenadines,Samoa,1
Panama Papers,organization,Saint Vincent and the Grenadines,Hong Kong,1
Panama Papers,organization,Russia,Seychelles,1
Panama Papers,organization,Russia,Panama,1
Panama Papers,organization,Poland,Bahamas,1
Panama Papers,organization,Senegal,British Virgin Islands,1
Offshore Leaks,organization,France,Cayman Islands,1
Panama Papers,individual,Lebanon,Samoa,1
Paradise Papers - Appleby,organization,United States,State of Delaware,1
Offshore Leaks,individual,Denmark,Cook Islands,1
Offshore Leaks,individual,Djibouti,British Virgin Islands,1
Offshore Leaks,individual,Viet Nam,Singapore,1
Offshore Leaks,individual,Djibouti,Samoa,1
Offshore Leaks,individual,Viet Nam,Seychelles,1
Offshore Leaks,individual,Tonga,British Virgin Islands,1
Offshore Leaks,individual,Dominica,British Virgin Islands,1
Offshore Leaks,individual,Dominican Republic,Samoa,1
Offshore Leaks,individual,Egypt,Singapore,1
Offshore Leaks,individual,Finland,Cook Islands,1
Offshore Leaks,individual,Venezuela,Labuan,1
Offshore Leaks,individual,France,Labuan,1
Offshore Leaks,individual,Trinidad and Tobago,Cook Islands,1
Offshore Leaks,individual,Gabon,British Virgin Islands,1
Offshore Leaks,individual,Oman,Samoa,1
Offshore Leaks,individual,Thailand,Seychelles,1
Offshore Leaks,individual,Canada,Seychelles,1
Offshore Leaks,individual,Singapore,Marshall Islands,1
Offshore Leaks,individual,Chile,Cook Islands,1
Offshore Leaks,individual,Singapore,Malaysia,1
Offshore Leaks,organization,Antigua and Barbuda,British Virgin Islands,1
Offshore Leaks,individual,Saudi Arabia,Samoa,1
Offshore Leaks,individual,Saudi Arabia,Cook Islands,1
Offshore Leaks,individual,DR Congo,British Virgin Islands,1
Offshore Leaks,organization,Antigua and Barbuda,Bahamas,1
Offshore Leaks,individual,Colombia,Cook Islands,1
Offshore Leaks,individual,Philippines,Singapore,1
Offshore Leaks,organization,Anguilla,Cayman Islands,1
Offshore Leaks,individual,Curaçao,Cook Islands,1
Offshore Leaks,individual,Pakistan,United States Of America,1
Offshore Leaks,individual,Czech Republic,British Virgin Islands,1
Offshore Leaks,individual,Czech Republic,Hong Kong,1
Offshore Leaks,individual,Norway,Cook Islands,1
Offshore Leaks,individual,Norfolk Island,Samoa,1
Offshore Leaks,individual,Niger,British Virgin Islands,1
Offshore Leaks,individual,Malaysia,St. Lucia,1
Offshore Leaks,individual,Malaysia,Recorded in leaked files as fund,1
Offshore Leaks,individual,Malaysia,Hong Kong,1
Offshore Leaks,individual,United Kingdom,Mauritius,1
Offshore Leaks,individual,Japan,Bahamas,1
Offshore Leaks,individual,Malaysia,Bahamas,1
Offshore Leaks,individual,Madagascar,British Virgin Islands,1
Offshore Leaks,individual,United Kingdom,Recorded in leaked files as fund,1
Offshore Leaks,individual,Japan,Recorded in leaked files as fund,1
Offshore Leaks,individual,Macedonia,British Virgin Islands,1
Offshore Leaks,individual,Macao,Labuan,1
Offshore Leaks,individual,Macao,Cayman Islands,1
Offshore Leaks,individual,Luxembourg,Singapore,1
Offshore Leaks,individual,Latvia,British Virgin Islands,1
Offshore Leaks,individual,Liechtenstein,Bahamas,1
Offshore Leaks,individual,United Kingdom,Bahamas,1
Offshore Leaks,individual,Iran,Labuan,1
Offshore Leaks,individual,Iran,Cook Islands,1
Offshore Leaks,individual,Monaco,Samoa,1
Offshore Leaks,individual,New Zealand,Seychelles,1
Offshore Leaks,individual,Gibraltar,Singapore,1
Offshore Leaks,individual,U.S. Virgin Islands,Cook Islands,1
Offshore Leaks,individual,U.S. Virgin Islands,Samoa,1
Offshore Leaks,individual,Hungary,Singapore,1
Offshore Leaks,individual,Namibia,British Virgin Islands,1
Offshore Leaks,individual,India,Cayman Islands,1
Offshore Leaks,individual,India,Cyprus,1
Offshore Leaks,individual,India,Seychelles,1
Offshore Leaks,individual,Morocco,Samoa,1
Offshore Leaks,individual,Switzerland,United States Of America,1
Offshore Leaks,individual,Indonesia,Hong Kong,1
Offshore Leaks,individual,Ukraine,Samoa,1
Offshore Leaks,individual,Brunei,Labuan,1
Bahamas Leaks,individual,Jordan,Bahamas,1
Bahamas Leaks,individual,Netherlands,Bahamas,1
Offshore Leaks,organization,Bangladesh,British Virgin Islands,1
Offshore Leaks,individual,Bahrain,Samoa,1
Offshore Leaks,individual,Sri Lanka,Singapore,1
Offshore Leaks,organization,Brunei,Hong Kong,1
Bahamas Leaks,individual,Saudi Arabia,Bahamas,1
Offshore Leaks,individual,Austria,Singapore,1
Offshore Leaks,individual,Austria,Samoa,1
Bahamas Leaks,individual,Hungary,Bahamas,1
Offshore Leaks,organization,Brunei,Singapore,1
Offshore Leaks,individual,Spain,Cayman Islands,1
Offshore Leaks,individual,Australia,Hong Kong,1
Bahamas Leaks,individual,Venezuela,Bahamas,1
Offshore Leaks,individual,Spain,Samoa,1
Offshore Leaks,individual,Australia,Bahamas,1
Offshore Leaks,individual,Armenia,Cook Islands,1
Offshore Leaks,individual,Argentina,Samoa,1
Offshore Leaks,individual,Argentina,Labuan,1
Offshore Leaks,individual,Sri Lanka,Labuan,1
Offshore Leaks,individual,Angola,British Virgin Islands,1
Bahamas Leaks,individual,Turkmenistan,Bahamas,1
Offshore Leaks,individual,Belgium,Samoa,1
Offshore Leaks,individual,South Korea,Seychelles,1
Offshore Leaks,individual,Benin,British Virgin Islands,1
Offshore Leaks,individual,Slovenia,Samoa,1
Offshore Leaks,organization,Curaçao,Cook Islands,1
Offshore Leaks,individual,Brazil,Labuan,1
Bahamas Leaks,individual,Azerbaijan,Bahamas,1
Offshore Leaks,individual,Singapore,Vanuatu,1
Offshore Leaks,organization,China,St. Lucia,1
Offshore Leaks,individual,Singapore,United Kingdom,1
Offshore Leaks,individual,South Africa,Singapore,1
Bahamas Leaks,individual,Argentina,Bahamas,1
Offshore Leaks,organization,China,Singapore,1
Bahamas Leaks,individual,Colombia,Bahamas,1
Offshore Leaks,organization,China,Mauritius,1
Offshore Leaks,organization,Australia,Singapore,1
Offshore Leaks,individual,Bhutan,British Virgin Islands,1
Bahamas Leaks,individual,Australia,Bahamas,1
Offshore Leaks,individual,Brazil,Cayman Islands,1
Offshore Leaks,individual,Morocco,British Virgin Islands,2
Panama Papers,individual,U.S. Virgin Islands,Seychelles,2
Offshore Leaks,individual,Montenegro,British Virgin Islands,2
Panama Papers,individual,Uganda,Bahamas,2
Panama Papers,individual,Turks and Caicos Islands,Seychelles,2
Panama Papers,individual,United Arab Emirates,Hong Kong,2
Offshore Leaks,individual,Suriname,British Virgin Islands,2
Panama Papers,individual,Estonia,Panama,2
Panama Papers,individual,Gabon,Bahamas,2
Panama Papers,individual,Trinidad and Tobago,Samoa,2
Panama Papers,organization,Denmark,British Virgin Islands,2
Panama Papers,individual,Trinidad and Tobago,Bahamas,2
Offshore Leaks,individual,Sweden,Samoa,2
Panama Papers,individual,Estonia,British Anguilla,2
Panama Papers,individual,United States,New Zealand,2
Panama Papers,individual,Estonia,Bahamas,2
Panama Papers,organization,Barbados,Bahamas,2
Panama Papers,organization,Australia,Panama,2
Panama Papers,individual,DR Congo,Panama,2
Panama Papers,individual,DR Congo,Bahamas,2
Panama Papers,organization,Argentina,British Virgin Islands,2
Panama Papers,organization,Anguilla,Wyoming,2
Panama Papers,individual,Djibouti,British Virgin Islands,2
Panama Papers,organization,Bulgaria,British Virgin Islands,2
Panama Papers,organization,American Samoa,British Virgin Islands,2
Offshore Leaks,individual,Liechtenstein,Cook Islands,2
Panama Papers,organization,Albania,British Virgin Islands,2
Panama Papers,individual,Ecuador,Belize,2
Panama Papers,individual,Yemen,Seychelles,2
Panama Papers,individual,Ecuador,Hong Kong,2
Offshore Leaks,individual,Lithuania,British Virgin Islands,2
Panama Papers,individual,Venezuela,Samoa,2
Panama Papers,organization,China,Panama,2
Panama Papers,organization,Curaçao,Panama,2
Panama Papers,individual,United Kingdom,Malta,2
Panama Papers,individual,El Salvador,British Anguilla,2
Panama Papers,individual,Czech Republic,Cyprus,2
Panama Papers,individual,Ireland,Hong Kong,2
Panama Papers,individual,Syria,Samoa,2
Panama Papers,individual,Norway,Panama,2
Panama Papers,individual,Haiti,Bahamas,2
Panama Papers,individual,Nigeria,British Anguilla,2
Panama Papers,individual,Haiti,Panama,2
Offshore Leaks,individual,Libya,British Virgin Islands,2
Panama Papers,individual,Hong Kong,Nevada,2
Panama Papers,individual,New Zealand,British Anguilla,2
Panama Papers,individual,Netherlands,Nevada,2
Panama Papers,individual,Hungary,British Anguilla,2
Offshore Leaks,individual,Papua New Guinea,British Virgin Islands,2
Panama Papers,individual,Myanmar,Seychelles,2
Panama Papers,individual,Myanmar,Samoa,2
Panama Papers,individual,Monaco,British Anguilla,2
Panama Papers,individual,Moldova,British Anguilla,2
Offshore Leaks,individual,Portugal,Cook Islands,2
Offshore Leaks,individual,South Africa,Samoa,2
Offshore Leaks,individual,Portugal,Samoa,2
Offshore Leaks,individual,Romania,Cook Islands,2
Offshore Leaks,individual,Russia,Ireland,2
Panama Papers,individual,Lithuania,Bahamas,2
Panama Papers,individual,India,Panama,2
Panama Papers,individual,Iraq,Bahamas,2
Panama Papers,individual,Ireland,British Anguilla,2
Panama Papers,individual,Jamaica,Panama,2
Panama Papers,individual,Italy,Hong Kong,2
Panama Papers,individual,Guyana,British Virgin Islands,2
Panama Papers,individual,Papua New Guinea,British Virgin Islands,2
Panama Papers,individual,Philippines,Hong Kong,2
Panama Papers,individual,Syria,Niue,2
Panama Papers,individual,Switzerland,United Kingdom,2
Panama Papers,individual,Switzerland,Belize,2
Panama Papers,individual,Georgia,Bahamas,2
Panama Papers,individual,Sweden,Samoa,2
Panama Papers,individual,Sudan,Panama,2
Panama Papers,individual,Sri Lanka,Seychelles,2
Offshore Leaks,individual,Netherlands,Seychelles,2
Panama Papers,individual,Spain,New Zealand,2
Offshore Leaks,individual,Singapore,St. Lucia,2
Panama Papers,individual,Spain,Hong Kong,2
Offshore Leaks,individual,New Zealand,Bahamas,2
Panama Papers,individual,Thailand,British Anguilla,2
Panama Papers,individual,Germany,Belize,2
Panama Papers,individual,Ghana,British Anguilla,2
Panama Papers,individual,Serbia,Bahamas,2
Panama Papers,individual,Saint Vincent and the Grenadines,Bahamas,2
Panama Papers,individual,Réunion,Seychelles,2
Panama Papers,individual,Grenada,Panama,2
Panama Papers,individual,Rwanda,Seychelles,2
Panama Papers,individual,Romania,Samoa,2
Panama Papers,individual,Romania,Panama,2
Panama Papers,individual,Guatemala,Samoa,2
Panama Papers,individual,Romania,British Anguilla,2
Offshore Leaks,individual,South Korea,Singapore,2
Panama Papers,individual,Slovenia,Seychelles,2
Panama Papers,individual,Spain,Malta,2
Offshore Leaks,individual,Indonesia,Bermuda,2
Panama Papers,organization,Dominican Republic,British Anguilla,2
Paradise Papers - Appleby,individual,Malaysia,Isle of Man,2
Paradise Papers - Appleby,individual,Malaysia,Mauritius,2
Paradise Papers - Appleby,individual,Mexico,Bermuda,2
Paradise Papers - Appleby,individual,Monaco,Isle of Man,2
Paradise Papers - Appleby,individual,Mozambique,Mauritius,2
Paradise Papers - Appleby,individual,Netherlands,British Virgin Islands,2
Paradise Papers - Appleby,individual,Luxembourg,Isle of Man,2
Paradise Papers - Appleby,individual,New Zealand,Isle of Man,2
Paradise Papers - Appleby,individual,Nigeria,Mauritius,2
Paradise Papers - Appleby,individual,Pakistan,Cayman Islands,2
Paradise Papers - Appleby,individual,Poland,Cayman Islands,2
Offshore Leaks,individual,Brazil,Singapore,2
Paradise Papers - Appleby,individual,Saudi Arabia,Bermuda,2
Offshore Leaks,individual,Brazil,Samoa,2
Paradise Papers - Appleby,individual,New Zealand,Mauritius,2
Paradise Papers - Appleby,individual,Saudi Arabia,Mauritius,2
Offshore Leaks,individual,Croatia,British Virgin Islands,2
Paradise Papers - Appleby,individual,Laos,Cayman Islands,2
Paradise Papers - Appleby,individual,Germany,Seychelles,2
Paradise Papers - Appleby,individual,Grenada,Cayman Islands,2
Offshore Leaks,individual,Denmark,Samoa,2
Paradise Papers - Appleby,individual,Guyana,Cayman Islands,2
Paradise Papers - Appleby,individual,Hungary,Isle of Man,2
Paradise Papers - Appleby,individual,Liechtenstein,Cayman Islands,2
Paradise Papers - Appleby,individual,Iceland,Cayman Islands,2
Paradise Papers - Appleby,individual,Iran,Cayman Islands,2
Paradise Papers - Appleby,individual,Iraq,Cayman Islands,2
Paradise Papers - Appleby,individual,Jordan,Bermuda,2
Paradise Papers - Appleby,individual,Kazakhstan,Bermuda,2
Paradise Papers - Appleby,individual,Kazakhstan,Mauritius,2
Paradise Papers - Appleby,individual,Kuwait,Isle of Man,2
Paradise Papers - Appleby,individual,Indonesia,British Virgin Islands,2
Paradise Papers - Appleby,individual,South Africa,Jersey,2
Paradise Papers - Appleby,individual,Spain,Isle of Man,2
Paradise Papers - Appleby,individual,Spain,Jersey,2
Paradise Papers - Appleby,organization,Malaysia,British Virgin Islands,2
Offshore Leaks,individual,Andorra,Cook Islands,2
Offshore Leaks,individual,Andorra,British Virgin Islands,2
Paradise Papers - Appleby,organization,Netherlands,British Virgin Islands,2
Paradise Papers - Appleby,organization,Netherlands,Cayman Islands,2
Paradise Papers - Appleby,organization,Netherlands,Isle of Man,2
Offshore Leaks,individual,Argentina,British Virgin Islands,2
Paradise Papers - Appleby,organization,New Zealand,Cayman Islands,2
Paradise Papers - Appleby,organization,Qatar,Cayman Islands,2
Bahamas Leaks,individual,Slovenia,Bahamas,2
Paradise Papers - Appleby,organization,Singapore,Mauritius,2
Paradise Papers - Appleby,organization,Switzerland,Bermuda,2
Paradise Papers - Appleby,organization,Taiwan,Cayman Islands,2
Bahamas Leaks,individual,Canada,Bahamas,2
Paradise Papers - Appleby,organization,Oman,British Virgin Islands,2
Paradise Papers - Appleby,organization,Liechtenstein,British Virgin Islands,2
Paradise Papers - Appleby,organization,Israel,Cayman Islands,2
Paradise Papers - Appleby,organization,Hong Kong,Mauritius,2
Paradise Papers - Appleby,individual,Sweden,British Virgin Islands,2
Paradise Papers - Appleby,individual,Switzerland,Jersey,2
Paradise Papers - Appleby,individual,Switzerland,Seychelles,2
Offshore Leaks,individual,Belarus,British Virgin Islands,2
Paradise Papers - Appleby,individual,United States,Seychelles,2
Paradise Papers - Appleby,individual,Venezuela,British Virgin Islands,2
Paradise Papers - Appleby,individual,Yemen,Cayman Islands,2
Paradise Papers - Appleby,organization,Australia,British Virgin Islands,2
Paradise Papers - Appleby,organization,Brazil,Cayman Islands,2
Paradise Papers - Appleby,organization,China,British Virgin Islands,2
Paradise Papers - Appleby,organization,Curaçao,Cayman Islands,2
Paradise Papers - Appleby,organization,France,Bermuda,2
Paradise Papers - Appleby,organization,French Guiana,Cayman Islands,2
Paradise Papers - Appleby,organization,Gibraltar,Cayman Islands,2
Paradise Papers - Appleby,individual,Germany,Jersey,2
Paradise Papers - Appleby,individual,France,Mauritius,2
Paradise Papers - Appleby,individual,France,Jersey,2
Panama Papers,organization,Luxembourg,Malta,2
Panama Papers,organization,Luxembourg,Samoa,2
Panama Papers,organization,Malawi,British Virgin Islands,2
Panama Papers,organization,Mexico,Bahamas,2
Offshore Leaks,individual,Indonesia,Recorded in leaked files as fund,2
Panama Papers,organization,Netherlands,Panama,2
Panama Papers,organization,Liechtenstein,British Anguilla,2
Panama Papers,organization,Netherlands,Seychelles,2
Panama Papers,organization,New Zealand,Hong Kong,2
Panama Papers,organization,Oman,British Virgin Islands,2
Panama Papers,organization,Peru,Nevada,2
Offshore Leaks,individual,Indonesia,Bahamas,2
Panama Papers,organization,Poland,British Virgin Islands,2
Panama Papers,organization,Portugal,Bahamas,2
Panama Papers,organization,New Zealand,Belize,2
Panama Papers,organization,Kenya,British Virgin Islands,2
Panama Papers,organization,Kenya,Bahamas,2
Panama Papers,organization,Kazakhstan,British Virgin Islands,2
Panama Papers,organization,Egypt,Panama,2
Panama Papers,organization,Estonia,British Virgin Islands,2
Offshore Leaks,individual,Laos,British Virgin Islands,2
Panama Papers,organization,Gambia,British Virgin Islands,2
Panama Papers,organization,Gambia,Seychelles,2
Panama Papers,organization,Germany,Cyprus,2
Offshore Leaks,individual,Kenya,Samoa,2
Panama Papers,organization,Haiti,Nevada,2
Offshore Leaks,individual,Japan,Singapore,2
Panama Papers,organization,Iraq,British Virgin Islands,2
Panama Papers,organization,Israel,Bahamas,2
Panama Papers,organization,Israel,British Anguilla,2
Offshore Leaks,individual,Jamaica,British Virgin Islands,2
Panama Papers,organization,Portugal,Nevada,2
Panama Papers,organization,Dominica,Panama,2
Panama Papers,organization,Romania,British Virgin Islands,2
Offshore Leaks,individual,Iceland,British Virgin Islands,2
Paradise Papers - Appleby,individual,Argentina,Isle of Man,2
Paradise Papers - Appleby,individual,Armenia,Cayman Islands,2
Paradise Papers - Appleby,individual,Australia,Jersey,2
Paradise Papers - Appleby,individual,Azerbaijan,Isle of Man,2
Paradise Papers - Appleby,individual,Bahrain,Bermuda,2
Paradise Papers - Appleby,individual,Bahrain,British Virgin Islands,2
Paradise Papers - Appleby,individual,Angola,British Virgin Islands,2
Paradise Papers - Appleby,individual,Bahrain,Cayman Islands,2
Paradise Papers - Appleby,individual,Belgium,Jersey,2
Paradise Papers - Appleby,individual,Canada,Seychelles,2
Paradise Papers - Appleby,individual,Colombia,British Virgin Islands,2
Offshore Leaks,individual,Fiji,British Virgin Islands,2
Offshore Leaks,individual,Egypt,Cook Islands,2
Paradise Papers - Appleby,individual,Egypt,Isle of Man,2
Paradise Papers - Appleby,individual,Andorra,Cayman Islands,2
Paradise Papers - Appleby,individual,Algeria,Bermuda,2
Paradise Papers - Appleby,individual,Albania,Cayman Islands,2
Panama Papers,organization,South Africa,Seychelles,2
Offshore Leaks,individual,Hungary,British Virgin Islands,2
Panama Papers,organization,Spain,Seychelles,2
Panama Papers,organization,Sudan,British Virgin Islands,2
Panama Papers,organization,Switzerland,Cyprus,2
Panama Papers,organization,Tanzania,British Virgin Islands,2
Panama Papers,organization,Thailand,Bahamas,2
Panama Papers,organization,Thailand,Nevada,2
Offshore Leaks,individual,Hong Kong,Mauritius,2
Panama Papers,organization,Turkey,Panama,2
Panama Papers,organization,Ukraine,British Virgin Islands,2
Offshore Leaks,individual,Guinea,British Virgin Islands,2
Panama Papers,organization,United States,Hong Kong,2
Panama Papers,organization,Venezuela,Panama,2
Panama Papers,organization,Viet Nam,British Virgin Islands,2
Panama Papers,organization,Somalia,Panama,2
Panama Papers,individual,Colombia,Malta,2
Offshore Leaks,organization,Finland,British Virgin Islands,2
Offshore Leaks,organization,Malaysia,Cook Islands,2
Offshore Leaks,organization,Australia,Labuan,2
Offshore Leaks,individual,Turks and Caicos Islands,British Virgin Islands,2
Panama Papers,individual,Bolivia,Hong Kong,2
Offshore Leaks,organization,Nauru,British Virgin Islands,2
Offshore Leaks,organization,Indonesia,Labuan,2
Offshore Leaks,organization,Indonesia,Marshall Islands,2
Offshore Leaks,organization,Indonesia,Panama,2
Offshore Leaks,organization,India,Singapore,2
Panama Papers,individual,Bahrain,Panama,2
Offshore Leaks,individual,United States,Bahamas,2
Offshore Leaks,organization,Ireland,Cayman Islands,2
Offshore Leaks,organization,South Africa,Cook Islands,2
Panama Papers,individual,Brazil,Hong Kong,2
Offshore Leaks,individual,United States,Liberia,2
Panama Papers,individual,Bulgaria,Nevada,2
Panama Papers,individual,Argentina,Costa Rica,2
Panama Papers,individual,Cape Verde,United Kingdom,2
Offshore Leaks,organization,Netherlands,Singapore,2
Offshore Leaks,organization,Italy,Singapore,2
Offshore Leaks,organization,Venezuela,British Virgin Islands,2
Offshore Leaks,individual,Taiwan,Brunei,2
Offshore Leaks,organization,Bahrain,British Virgin Islands,2
Panama Papers,individual,Azerbaijan,Seychelles,2
Panama Papers,individual,Anguilla,Nevada,2
Offshore Leaks,organization,Singapore,Recorded in leaked files as fund,2
Offshore Leaks,organization,China,Hong Kong,2
Offshore Leaks,organization,Macao,Samoa,2
Panama Papers,individual,Belgium,Cyprus,2
Panama Papers,individual,Algeria,Belize,2
Offshore Leaks,organization,United Kingdom,Cayman Islands,2
Offshore Leaks,individual,Viet Nam,Samoa,2
Offshore Leaks,organization,China,Labuan,2
Panama Papers,individual,Antigua and Barbuda,Panama,2
Offshore Leaks,individual,United States,Mauritius,2
Offshore Leaks,organization,Thailand,Mauritius,2
Offshore Leaks,individual,Taiwan,Mauritius,2
Panama Papers,individual,Bahrain,Bahamas,2
Panama Papers,individual,Benin,Bahamas,2
Panama Papers,individual,Belgium,Hong Kong,2
Panama Papers,individual,Antigua and Barbuda,British Anguilla,2
Paradise Papers - Appleby,individual,Nicaragua,Cayman Islands,3
Paradise Papers - Appleby,individual,Philippines,British Virgin Islands,3
Panama Papers,individual,Azerbaijan,British Anguilla,3
Panama Papers,organization,Colombia,British Anguilla,3
Offshore Leaks,individual,Iran,British Virgin Islands,3
Offshore Leaks,organization,Malaysia,Hong Kong,3
Offshore Leaks,individual,South Africa,Seychelles,3
Offshore Leaks,individual,Slovenia,British Virgin Islands,3
Panama Papers,individual,Guam,Bahamas,3
Panama Papers,individual,Russia,Niue,3
Panama Papers,organization,Netherlands,Bahamas,3
Offshore Leaks,individual,French Polynesia,British Virgin Islands,3
Panama Papers,organization,El Salvador,Bahamas,3
Offshore Leaks,individual,Israel,Cook Islands,3
Panama Papers,individual,Thailand,Hong Kong,3
Panama Papers,individual,Madagascar,Seychelles,3
Paradise Papers - Appleby,individual,Portugal,Jersey,3
Panama Papers,individual,Malawi,Seychelles,3
Panama Papers,individual,Tanzania,Bahamas,3
Paradise Papers - Appleby,individual,Netherlands,Isle of Man,3
Panama Papers,organization,Dominica,British Anguilla,3
Offshore Leaks,individual,Indonesia,Panama,3
Offshore Leaks,organization,Nauru,Cook Islands,3
Panama Papers,individual,Azerbaijan,Panama,3
Offshore Leaks,individual,Netherlands,Cayman Islands,3
Offshore Leaks,individual,United Arab Emirates,Samoa,3
Paradise Papers - Appleby,individual,Belgium,Bermuda,3
Paradise Papers - Appleby,individual,Monaco,Bermuda,3
Panama Papers,individual,Belgium,Belize,3
Offshore Leaks,organization,United States,Singapore,3
Offshore Leaks,organization,Malaysia,Singapore,3
Panama Papers,organization,Netherlands,United Kingdom,3
Offshore Leaks,individual,Norway,Singapore,3
Panama Papers,individual,Mali,Bahamas,3
Offshore Leaks,individual,Tanzania,British Virgin Islands,3
Offshore Leaks,individual,Israel,Samoa,3
Paradise Papers - Appleby,individual,India,Mauritius,3
Panama Papers,organization,Haiti,Samoa,3
Paradise Papers - Appleby,individual,India,Jersey,3
Paradise Papers - Appleby,individual,India,Bahamas,3
Panama Papers,individual,Liechtenstein,Hong Kong,3
Paradise Papers - Appleby,individual,Hong Kong,Mauritius,3
Panama Papers,organization,Hong Kong,Nevada,3
Offshore Leaks,individual,Sierra Leone,Cook Islands,3
Offshore Leaks,individual,Jordan,British Virgin Islands,3
Paradise Papers - Appleby,individual,Estonia,Isle of Man,3
Paradise Papers - Appleby,individual,Gibraltar,Isle of Man,3
Paradise Papers - Appleby,individual,Gibraltar,British Virgin Islands,3
Panama Papers,organization,Iran,Bahamas,3
Paradise Papers - Appleby,individual,Germany,State of Delaware,3
Paradise Papers - Appleby,organization,United States,Mauritius,3
Panama Papers,individual,Sint Maarten (Dutch part),British Virgin Islands,3
Paradise Papers - Appleby,individual,Germany,Mauritius,3
Offshore Leaks,organization,Saint Vincent and the Grenadines,Cook Islands,3
Offshore Leaks,individual,United Kingdom,Cayman Islands,3
Panama Papers,individual,Lebanon,Niue,3
Offshore Leaks,organization,Saint Vincent and the Grenadines,Samoa,3
Panama Papers,individual,Latvia,Malta,3
Panama Papers,individual,Slovakia,Panama,3
Paradise Papers - Appleby,individual,Denmark,Cayman Islands,3
Panama Papers,individual,Liechtenstein,Samoa,3
Panama Papers,organization,Haiti,Bahamas,3
Offshore Leaks,individual,Colombia,British Virgin Islands,3
Panama Papers,organization,El Salvador,Panama,3
Offshore Leaks,individual,Latvia,Cook Islands,3
Panama Papers,individual,Angola,British Anguilla,3
Panama Papers,individual,Sweden,Panama,3
Panama Papers,individual,Iraq,Panama,3
Panama Papers,individual,Saudi Arabia,Samoa,3
Panama Papers,organization,France,British Virgin Islands,3
Offshore Leaks,organization,New Zealand,Cook Islands,3
Panama Papers,individual,Ireland,Samoa,3
Paradise Papers - Appleby,individual,Liechtenstein,British Virgin Islands,3
Panama Papers,individual,Luxembourg,Nevada,3
Panama Papers,individual,Indonesia,Niue,3
Panama Papers,individual,Bangladesh,British Anguilla,3
Panama Papers,individual,Andorra,Panama,3
Paradise Papers - Appleby,individual,Jordan,Cayman Islands,3
Offshore Leaks,individual,Russia,Cook Islands,3
Panama Papers,individual,Andorra,Bahamas,3
Paradise Papers - Appleby,individual,Italy,British Virgin Islands,3
Panama Papers,individual,Senegal,Seychelles,3
Panama Papers,individual,Lithuania,Panama,3
Offshore Leaks,individual,Czech Republic,Cook Islands,3
Offshore Leaks,individual,Turkey,Marshall Islands,3
Paradise Papers - Appleby,individual,Ireland,British Virgin Islands,3
Panama Papers,individual,Brazil,United Kingdom,3
Panama Papers,organization,Gibraltar,Nevada,3
Paradise Papers - Appleby,individual,Croatia,British Virgin Islands,3
Offshore Leaks,individual,Romania,British Virgin Islands,3
Offshore Leaks,organization,Malaysia,Cayman Islands,3
Offshore Leaks,individual,Switzerland,Seychelles,3
Offshore Leaks,individual,Hong Kong,Recorded in leaked files as fund,3
Panama Papers,individual,United Kingdom,Belize,3
Offshore Leaks,organization,Taiwan,Singapore,3
Panama Papers,individual,Nicaragua,Panama,3
Offshore Leaks,organization,Taiwan,Seychelles,3
Panama Papers,organization,U.S. Virgin Islands,British Virgin Islands,3
Panama Papers,individual,Denmark,Bahamas,3
Offshore Leaks,individual,Malawi,British Virgin Islands,3
Panama Papers,individual,Chad,Panama,3
Panama Papers,individual,Dominica,British Anguilla,3
Panama Papers,organization,Saint Vincent and the Grenadines,Bahamas,3
Panama Papers,organization,Anguilla,Panama,3
Panama Papers,organization,Botswana,Seychelles,3
Offshore Leaks,organization,Indonesia,Seychelles,3
Offshore Leaks,individual,Switzerland,Cayman Islands,3
Offshore Leaks,organization,Indonesia,Singapore,3
