,Ranking,Banding,Master-index Score,Number of Sources,Type Of Governance,Government Effectiveness,Civil Liberties & Political Rights,Freedom Of The Press,Freedom Of Religion,Political Stability,Voice & Accountability,Regulatory Quality,Rule Of Law,Political Terror Scale,Armed Conflict,Military Influence,Human Rights,Fragile States Index,Public Services & Education,Research & Development,GDP,Natural Resources,Poverty,Debt,Military Expenditure,Country/ Public Debt,Average Earnings,Economic Freedom,Sovereign Credit Ratings,Developing Country,Competitiveness,Sanctions,Trade Climate (IP),Business Operational Risk,Tax Concerns,Environmental Performance,Free Trade Zones,Heavily Indebted Pr Cntry,Globalization,Illicit Drugs & Narcotics,Fraud,AML Controls,Illicit Financial Flow,Terrorism,Crime Rate,Human Trafficking,Corruption,Absence Of Violence,Arms Export Controls,Counterfeiting,Exploitative Labor,Natural Resources Industry Controls,Political,Economic,Criminal,Country,Count
0,7 / 247 Countries,VERY LOW,9.63848452088203,252,1.49028449667723,1.8012698567556,1.32226654995574,1.62565615893423,-0.41471409298473,1.56217299774126,1.79995587110662,2.07151693761936,2.44433477218577,0.873347788920143,1.75810075350316,0.729921127490378,0.994072264673404,2.05839487018101,1.562423891913,1.49012573875365,1.32266161393776,-0.128704450019497,1.22571370280588,-1.62726294392236,0.484338991000231,0.518694451886513,1.55858513936149,1.50307706233875,1.74268643184242,2.09441043456634,2.27435975838967,0.403148798966402,1.28803125457428,-0.387355450180201,0.277356127397039,1.38409740948208,1.08672680563092,0.442806882537605,1.92616165362712,-1.10633203612043,0.748060795093076,0.341892600576903,0.0,0.569625378426463,0.391979482003431,1.54331374837082,1.90379488218364,1.71671495922629,0.275611747849781,0.129254117636515,0.173210486056148,1.44194327380043,1.45469744242654,0.930744129356805,0.589927118239683,SWITZERLAND,2833
0,211 / 247 Countries,HIGH,2.00787214603307,266,-0.774760425847426,-0.134293572855855,-1.44313173981627,-1.93353423491705,-1.48329146166134,-0.25694469800118,-1.49858747212502,-0.226329854864877,-0.235557868356575,-1.21940586327276,-1.79485824934607,0.729921127490378,-1.48429533828607,-0.205347949977717,0.0709253621911362,1.18235523743439,0.747592300553933,1.68708400918677,1.33940715820499,-1.18041746840969,-0.321390938931974,1.43415939785121,0.184814155554233,-0.185103403089946,0.668151326202841,0.34414156950978,1.02288830904598,-0.313321030847863,-0.411953139578142,0.72297062088794,0.277356127397039,-0.264158402766766,-0.962292438573943,0.442806882537605,0.28712533798052,-1.10633203612043,-0.888884850293729,0.330898823242024,-1.10673661408248,-0.251001055962744,-0.559765334385128,-1.79992905122499,-0.0436984018796619,-0.401357550446015,-1.16059221925079,-9.43846042523948,-1.86187365962438,1.44194327380043,-0.665022897283418,0.291194270478717,-1.11253617180403,CHINA,29211
0,18 / 247 Countries,VERY LOW,9.18056460376397,266,1.43142338279002,1.23409346828304,1.32226654995574,0.753375818640964,0.895499303535121,1.09212814793493,1.23486345669459,1.74953435304842,1.58695708053966,0.872639272248621,0.762725775169432,0.729921127490378,0.993067112831706,1.54736337533175,1.33552684419926,1.05877832397884,1.23888689424232,1.30628057903105,0.82778660890898,-2.14078251220449,-0.427318378358023,-1.204002329602,1.25850120509308,1.51792542958406,1.02917269027403,2.09441043456634,1.76503998249398,0.403148798966402,2.05363970325899,0.425121838549906,0.277356127397039,1.54416617786328,-0.962292438573943,0.442806882537605,1.83261883864201,-1.10633203612043,-1.66770292541357,0.970961152393766,0.0,-0.766025254868054,-0.663396916960707,1.54331374837082,1.67791391679971,0.580815052683497,1.37033130949969,-0.123337081370163,0.173210486056148,0.470138776597056,1.14752407959064,0.917149855778704,0.205168159075247,UNITED KINGDOM,5210
0,46 / 247 Countries,LOW,8.21816101549288,238,0.849668682765971,1.18649858579794,0.0381046773414431,0.212650573491727,0.0,1.52301807720517,0.161257747778529,3.26647579955102,1.71808616473763,0.0,1.01131311243453,0.0,-0.904875352977899,0.0,1.42329323067141,0.2779605666635,1.27448470461004,-0.456128448122143,0.543552970411195,-1.20090901223528,0.0,0.313009057251539,1.34587120927676,2.41533782233398,1.33690050405878,2.09441043456634,1.79414396968802,0.303759356613667,0.0,-0.156529340715969,0.277356127397039,0.0,-0.962292438573943,0.442806882537605,0.0,0.370254437661334,0.050791190795088,0.677819697933243,0.0,0.317869646252049,0.89946014335489,-0.766754256129524,1.42910326059925,0.0,0.0,-7.07205058949672,0.173210486056148,-0.716602111828091,0.891202160926455,0.734665377615904,-0.203396698635887,HONG KONG,23318
0,151 / 247 Countries,MEDIUM,4.2631498460624,272,0.280603118850466,-0.206640299551108,-0.0313811925460526,-0.155028711744163,-1.48329146166134,-0.223279983963608,0.0595937368661267,-0.116276233693364,-0.337457199189742,-0.480779249887389,-0.481176254448878,-0.91706798560736,-0.795643970222315,-0.129326735867909,-0.219787803218408,-0.890649676451245,0.385288103829757,1.43842732905855,1.05517351970721,-1.25187561199535,0.395506856309916,0.775545934527496,-0.326082498558354,0.205282185153898,-0.0186509740310172,-0.265201179151605,0.557224513941351,0.275610229077214,-1.12717366616713,-0.0450543446407993,0.277356127397039,-0.235050771141113,-0.962292438573943,0.442806882537605,0.142070236472965,-1.10633203612043,0.816494160761827,-0.443066167717059,-0.741669389250361,-1.05339248863263,1.10277267016553,0.254287684533173,-0.185632598210684,0.428743595365973,-0.0962866784807325,0.0548953194911815,-0.452386442401251,1.1400159777226,-0.346706643072832,0.139004853093335,-0.0310686366788463,INDONESIA,3363
0,93 / 247 Countries,MEDIUM,5.82853796370322,268,0.0178992862917052,0.302184659577769,-0.334859943578602,-0.645723641752021,-1.48329146166134,0.673812794550986,-0.414785720090733,0.547991039258913,0.363955103827149,-0.480779249887389,-0.131774079706572,-0.91706798560736,-0.353354998914076,0.187428322922958,0.330281166082568,1.31395342328841,0.839271818628519,1.18496044085961,1.4531006136041,-1.01257593061552,-0.121286440744041,-0.312381277850525,0.44225242387574,0.945641273528299,0.482679739920986,0.34414156950978,1.27027220019531,0.275610229077214,-0.238687316918774,0.123263223089779,0.277356127397039,0.398281203865637,-0.962292438573943,0.442806882537605,1.27455376099832,0.370254437661334,-0.282783222691446,0.549743873250989,-0.893324183814098,-0.567719074143704,-0.285272394561153,0.254287684533173,0.32470802583697,0.957085962299178,-1.16059221925079,-0.616273945931356,-0.342879671552926,1.44194327380043,-0.0415549950230949,0.477881164465009,-0.0307346200931855,MALAYSIA,2841
0,180 / 247 Countries,HIGH,3.19663264138974,270,-0.882873974972494,-0.405183913413435,-1.44313173981627,-0.99806994938486,-1.48329146166134,-0.611219650462216,-1.04129410928019,-0.344207531449929,-0.690911532145306,-1.21940586327276,-1.52698672176158,0.729921127490378,-0.936050541873936,-0.395400985252238,0.729323895790021,0.637006976925741,0.960165251820644,1.65877507911868,1.05517351970721,-1.39868510016762,-0.907003489576565,2.09805376097167,0.768886397966012,0.115991411668767,-0.0186509740310172,-0.530402642520047,0.499016539553272,-2.0419548929682,-0.393175763652738,-0.501285409284371,0.277356127397039,0.947565796370906,-0.962292438573943,0.442806882537605,0.668846614622174,0.370254437661334,0.050791190795088,0.283633562658837,-1.00947595299472,-0.779648691143142,-0.326512003846567,-1.79992905122499,-0.66468349055837,-1.72648236719018,0.0110472074132581,0.083705337846592,-0.456927549974054,1.44194327380043,-0.567387250667057,0.126431288088467,-0.287015668053322,RUSSIA,3593
0,16 / 247 Countries,VERY LOW,9.21365959114646,254,0.205886432620847,1.58176585675374,-0.334859943578602,-0.703329713645864,-0.41471409298473,1.87219353781515,-0.272393449585603,3.85836612557834,2.05235917594005,0.872639272248621,1.70624775144528,0.729921127490378,0.543386996082132,1.5769271808189,1.72891205317071,1.66696662948469,1.55546630725805,0.102719301921367,0.0,-1.21608505891907,-0.767579610119131,-1.51757950887582,1.51008127018107,2.39781824210496,1.74268643184242,2.09441043456634,2.05607985443437,0.275610229077214,0.998186641005631,0.129120564552199,0.277356127397039,1.4595844090151,-0.962292438573943,0.442806882537605,1.61107902492256,-1.10633203612043,-0.127218962504891,0.615214681940444,0.0,0.31510152799987,1.17534562621284,0.254287684533173,1.89900715937263,1.23778475253261,-0.136487678119004,-0.180648859288344,0.173210486056148,1.44194327380043,0.986649471686845,0.891002306603912,0.523077368423905,SINGAPORE,5625
0,27 / 247 Countries,LOW,8.94326920693768,211,1.49848447542098,1.58272912785666,1.32226654995574,0.687831546885157,0.895499303535121,0.899935087776696,0.926647547074551,1.09828874890652,0.928819509455136,1.41108720181291,1.17246766891018,0.729921127490378,1.04669391832733,0.0,1.46584618352024,0.0,1.23662206815873,0.190377001240815,1.56679406900322,-0.859505945003493,0.0,0.591301395852984,1.13658982542018,1.27850616329945,0.922124797725724,2.09441043456634,1.50310409774763,0.14629127718181,0.170362172858149,-0.890545788948234,0.277356127397039,0.444462154648668,-0.962292438573943,0.442806882537605,0.0,-1.10633203612043,0.0,-0.0238546917519486,0.0,0.839353710401286,1.07702589938006,1.54331374837082,0.845345069539547,0.590499661396967,-1.08787182881307,0.118497823907521,0.173210486056148,1.44194327380043,1.13736369202767,0.515402294762886,0.370105756437344,TAIWAN,19033
0,112 / 247 Countries,MEDIUM,5.17148264093157,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303759356613667,0.0,-0.890545788948234,0.277356127397039,0.0,1.08672680563092,0.442806882537605,0.0,0.370254437661334,0.0,-0.533033841989627,0.0,0.29748919603599,0.0,0.0,0.0,0.0,0.0,0.105770005221167,0.173210486056148,-0.716602111828091,0.0,0.149745856707959,-0.0770942549209097,UNITED STATES,8496
